,Classes,Accuracy,No. selected points
0,Class 0 v/s Class 1,0.997163121,22
1,Class 0 v/s Class 2,0.979622266,51
2,Class 0 v/s Class 3,0.984422111,50
3,Class 0 v/s Class 4,0.987767584,32
4,Class 0 v/s Class 5,0.963675214,54
5,Class 0 v/s Class 6,0.969556244,46
6,Class 0 v/s Class 7,0.977589641,26
7,Class 0 v/s Class 8,0.986693961,33
8,Class 0 v/s Class 9,0.990447461,30
9,Class 1 v/s Class 0,0.997163121,22
10,Class 1 v/s Class 2,0.988001846,49
11,Class 1 v/s Class 3,0.987412587,31
12,Class 1 v/s Class 4,0.992442135,18
13,Class 1 v/s Class 5,0.992599901,49
14,Class 1 v/s Class 6,0.989966555,33
15,Class 1 v/s Class 7,0.984743412,42
16,Class 1 v/s Class 8,0.967757231,64
17,Class 1 v/s Class 9,0.99113806,32
18,Class 2 v/s Class 0,0.979622266,51
19,Class 2 v/s Class 1,0.988001846,49
20,Class 2 v/s Class 3,0.951518119,80
21,Class 2 v/s Class 4,0.964746773,42
22,Class 2 v/s Class 5,0.95997921,65
23,Class 2 v/s Class 6,0.952261307,75
24,Class 2 v/s Class 7,0.953398058,56
25,Class 2 v/s Class 8,0.946161515,92
26,Class 2 v/s Class 9,0.963253307,42
27,Class 3 v/s Class 0,0.984422111,50
28,Class 3 v/s Class 1,0.987412587,31
29,Class 3 v/s Class 2,0.951518119,80
30,Class 3 v/s Class 4,0.986445783,50
31,Class 3 v/s Class 5,0.918506835,94
32,Class 3 v/s Class 6,0.988821138,37
33,Class 3 v/s Class 7,0.968596663,55
34,Class 3 v/s Class 8,0.928427419,103
35,Class 3 v/s Class 9,0.961862308,65
36,Class 4 v/s Class 0,0.987767584,32
37,Class 4 v/s Class 1,0.992442135,18
38,Class 4 v/s Class 2,0.964746773,42
39,Class 4 v/s Class 3,0.986445783,50
40,Class 4 v/s Class 5,0.982390608,56
41,Class 4 v/s Class 6,0.969072165,56
42,Class 4 v/s Class 7,0.973631841,59
43,Class 4 v/s Class 8,0.98006135,54
44,Class 4 v/s Class 9,0.925665495,87
45,Class 5 v/s Class 0,0.963675214,54
46,Class 5 v/s Class 1,0.992599901,49
47,Class 5 v/s Class 2,0.95997921,65
48,Class 5 v/s Class 3,0.918506835,94
49,Class 5 v/s Class 4,0.982390608,56
50,Class 5 v/s Class 6,0.954054054,64
51,Class 5 v/s Class 7,0.971875,51
52,Class 5 v/s Class 8,0.931404073,84
53,Class 5 v/s Class 9,0.952656497,53
54,Class 6 v/s Class 0,0.969556244,46
55,Class 6 v/s Class 1,0.989966555,33
56,Class 6 v/s Class 2,0.952261307,75
57,Class 6 v/s Class 3,0.988821138,37
58,Class 6 v/s Class 4,0.969072165,56
59,Class 6 v/s Class 5,0.954054054,64
60,Class 6 v/s Class 7,0.992950655,24
61,Class 6 v/s Class 8,0.974120083,52
62,Class 6 v/s Class 9,0.992882562,36
63,Class 7 v/s Class 0,0.977589641,26
64,Class 7 v/s Class 1,0.984743412,42
65,Class 7 v/s Class 2,0.953398058,56
66,Class 7 v/s Class 3,0.968596663,55
67,Class 7 v/s Class 4,0.973631841,59
68,Class 7 v/s Class 5,0.971875,51
69,Class 7 v/s Class 6,0.992950655,24
70,Class 7 v/s Class 8,0.972527473,53
71,Class 7 v/s Class 9,0.925380461,84
72,Class 8 v/s Class 0,0.986693961,33
73,Class 8 v/s Class 1,0.967757231,64
74,Class 8 v/s Class 2,0.946161515,92
75,Class 8 v/s Class 3,0.928427419,103
76,Class 8 v/s Class 4,0.98006135,54
77,Class 8 v/s Class 5,0.931404073,84
78,Class 8 v/s Class 6,0.974120083,52
79,Class 8 v/s Class 7,0.972527473,53
80,Class 8 v/s Class 9,0.952597075,57
81,Class 9 v/s Class 0,0.990447461,30
82,Class 9 v/s Class 1,0.99113806,32
83,Class 9 v/s Class 2,0.963253307,42
84,Class 9 v/s Class 3,0.961862308,65
85,Class 9 v/s Class 4,0.925665495,87
86,Class 9 v/s Class 5,0.952656497,53
87,Class 9 v/s Class 6,0.992882562,36
88,Class 9 v/s Class 7,0.925380461,84
89,Class 9 v/s Class 8,0.952597075,57
